TERM,NOUN,TITLE
cyberball_task,cyberball_task,Cyberball Task
dative_shift,dative_shift,Dative Shift
daydreaming,daydreaming,Daydreaming
decay_activation,decay_activation,Decay Activation
deception,deception,Deception
deception_task,deception_task,Deception Task
deception_task_paradigm,deception_task_paradigm,Deception Task Paradigm
decision,decision,Decision
decision_certainty,decision_certainty,Decision Certainty
decision_making,decision_making,Decision Making
decision_uncertainty,decision_uncertainty,Decision Uncertainty
declarative_knowledge,declarative_knowledge,Declarative Knowledge
declarative_memory,declarative_memory,Declarative Memory
declarative_rule,declarative_rule,Declarative Rule
deductive_inference,deductive_inference,Deductive Inference
deductive_reasoning,deductive_reasoning,Deductive Reasoning
deductive_reasoning_activity,deductive_reasoning_activity,Deductive Reasoning Activity
deductive_reasoning_function,deductive_reasoning_function,Deductive Reasoning Function
deductive_reasoning_paradigm,deductive_reasoning_paradigm,Deductive Reasoning Paradigm
deductive_reasoning_task,deductive_reasoning_task,Deductive Reasoning Task
deep_processing,deep_processing,Deep Processing
deep_structure,deep_structure,Deep Structure
defensive_aggression,defensive_aggression,Defensive Aggression
defiance,defiance,Defiance
delay_conditioning,delay_conditioning,Delay Conditioning
delay_discounting,delay_discounting,Delay Discounting
delay_discounting_task_paradigm,delay_discounting_task_paradigm,Delay Discounting Task Paradigm
delay_discounting_titration,delay_discounting_titration,Delay Discounting Titration
delayed,delay,Delay
delayed_intention_task,delayed_intention_task,Delayed Intention Task
delayed_match_sample_paradigm,delayed_match_sample_paradigm,Delayed Match Sample Paradigm
delayed_match_sample_task,delayed_match_sample_task,Delayed Match Sample Task
delayed_memory_task,delayed_memory_task,Delayed Memory Task
delayed_non_match_sample_paradigm,delayed_non_match_sample_paradigm,Delayed Non Match Sample Paradigm
delayed_nonmatch_sample_task,delayed_nonmatch_sample_task,Delayed Nonmatch Sample Task
delayed_recall_test,delayed_recall_test,Delayed Recall Test
delayed_response_task,delayed_response_task,Delayed Response Task
deliberation,deliberation,Deliberation
delusion,delusion,Delusion
depth_cue,depth_cue,Depth Cue
depth_perception,depth_perception,Depth Perception
desire,desire,Desire
detect,detection,Detection
detection,detection,Detection
determining_gender,gender_determination,Gender Determination
determining_orientation,orientation_determination,Orientation Determination
